SNCA
MAPT
LRRK2
SLC6A3
PRKN
GBA
PARK7
PINK1
SREBF1
UCHL1
TBP
GCH1
ADH1C
HLA-DRA
EIF4G1
ATXN2
NR4A2
PLA2G6
ATF6
HTRA2
ATP13A2
SLC18A2
VPS35
PRKAG2
SCARB2
SNCAIP
STK39
GIGYF2
GAK
FBXO7
CHCHD2
FGF20
SYNJ1
BST1
RAB39B
SEMA5A
RIT2
ATXN8OS
DNAJC6
PARK16
PARK9
PARK7
PARK6
PARK4
SNCB
ATXN3
DCTN1
FTL
COMT
ATP6AP2
ATP1A3
TH
POLG
SPR
RAB29
SLC30A10
TAF1
DNAJC13
APP
ADORA1
CP
DCAF17
LYST
CLN3
PDXK
TMEM230
FUS
SMPD1
ANKK1
COQ2
ATP7B
MTOR
CAV3
VDAC1
SCN3A
USP8
NEDD4L
TFG
MAG
HTRA1
ERCC1
FGA
HEXA
NRG1
NHS
NOTCH2
NOTCH3
NPC2
NLRP3
MET
GNS
NRAS
ATR
RBFOX1
BDNF
CACNA1C
ELK1
INS
IGF1
LRP2
MTRR
MKKS
IDS
PTEN
SCN5A
SLC22A5
FLNC
SIGMAR1
PRRT2
GRIN1
DNMT1
DYRK1A
TMEM70
GRIN2A
GRIN2B
VCP
HSPB1
PRNP
THAP1
ATP1A2
NDRG1
DES
PRKCH
F2
DMD
HPRT1
LAMP2
ARX
DCX
ZFYVE26
BSCL2
PC
AMN
PANK2
GAA
GCDH
GFAP
HTT
SCN9A
TOR1A
NKX2-1
PMP22
TTR
CST3
APOE
SNAP25
TNK2
HDAC6
KCNJ6
MUTYH
SLC14A1
NRTN
DVL1
SRC
POLE
CA1
ATP13A4
ATP5F1B
BMI1
PIN1
SHARPIN
SLC41A2
SESN2
PARP1
JUN
HYI
MSRA
KLC1
KCNN2
MYB
JMJD1C
HTR2C
MTA2
IAPP
HTR1B
NEDD4
NPM1
TLR2
HMOX1
IL6
HR
TERC
FLT3
IGF2R
ANK1
FAAH
DISC1
RHO
CAT
CD4
SMAD3
MAP3K1
GCLM
TAT
MAX
SOD2
PON1
AK1
TLR4
SPRED1
ATG16L1
LRP6
CBS
HAL
GALT
SI
SOX2
LMX1B
MYC
GPX1
TAP1
HP
HNRNPA1
VAMP2
RAB3A
SLC19A1
COX2
TRNA
ND5
ND1
ND4
ND3
ND4L
PCNA
EBF3
DNAJC3
CHRNA7
ATP6V1B2
UNC13A
