APOE
APP
NOS3
HFE
PSEN1
MPO
PLAU
A2M
SORL1
PSEN2
ABCA7
TCF3
KIF5C
AQP3
ERF
COX7B
DLG4
CCN2
ACHE
SMN2
RBFOX3
CSF2RA
E2F1
CHCHD10
C10orf105
NAT8L
CIZ1
GSTT1
FOXO1
CYC1
SGO1
B4GALNT1
NFATC2
E2F5
KCNQ5
CLPP
BCL2L1
PROK2
RPL15
SSPN
SIM2
MRPS18A
SYN2
SNAP25
OGT
CTSF
NR4A3
STUB1
OLIG2
NME5
TFE3
TKT
UST
MIR1292
EMX1
CTNND2
ESR2
PRKN
MAPK1
PDK1
GSTA3
GNAL
PPP3CA
SLC30A10
KYNU
RYR1
PCLO
HDAC6
DHTKD1
KCNJ6
PPP2R5D
MUTYH
SLC14A1
TECPR2
DVL1
WWOX
VAMP1
WNT1
SRC
PDGFRB
POLE
ITPR1
TUB
NLRC4
SURF1
TBK1
SPARC
MMP14
RPL26
CLP1
SOS2
CD44
APOA2
CASR
CDK6
BDNF
CDKN2B
F13A1
GATA1
F8
F2
GHR
EP300
EPHX2
FGFR2
ITIH4
MTHFR
PRKDC
FCER1G
POR
SH2B3
TREX1
POT1
LAMA1
NARS2
THPO
ZIC1
ABCA1
ACTB
NLRP3
WFS1
CREBBP
GLI3
CASK
SRY
MRE11
ATP2A3
BCAT1
BOC
BCHE
ATXN3L
BCL2
BGN
BMP7
AXL
BCL11A
ATF6
CA1
BAX
BCL6
C3AR1
BRD2
BTBD9
ATP2B4
AZIN2
BCAT2
ATF3
ATG7
DIP2A
DLGAP2
DKK3
CALM3
DSE
CYP2E1
DLL1
EWSR1
DDAH1
CALHM1
DMRT1
CYP2J2
EPHA5
CADPS2
CYP1A2
EOMES
EEF2
ECSIT
ECE2
CYP2C8
CBR1
DRD1
EPC2
CASP2
DVL2
CAMK4
CYFIP1
DPP10
EFNA5
EPHA7
DSCAM
E2F4
PLAG1
FMN1
GIPR
FGG
PLTP
GC
GBA2
GAD2
GIP
FLI1
PIN1
EXTL3
PLD2
GAS1
GALNT7
GLP1R
GALNT2
FOXA2
FKBP8
PML
GAP43
GHRH
FHIT
FPR1
FRK
FMOD
FLT1
PKM
PICK1
PIM1
FST
GAK
FHL2
FASN
PIF1
FDPS
GDF2
PIGZ
GGH
FOXA1
FRY
GABBR1
PLA2G4A
FGF2
EXOC4
SHBG
POLB
SLC1A5
SF3B1
PPP1R3C
SIRT3
PON2
SIRT5
POP1
PON3
SOCS3
SMO
POLL
SMAD1
SLC22A3
SOD3
SLC6A13
PPARGC1A
RYR3
SLC25A21
SEZ6
SEMA4C
SOX5
SLC30A5
RXRA
SLCO1A2
SELL
SMAD2
SLC6A6
