PTEN
DKK1
TIMP2
NPY
VAV1
C5AR1
LBP
CTSC
SNRPN
NCR2
GLT6D1
MFSD1
C1R
PLG
ITGB2
FERMT1
COL3A1
AQP3
CCN2
NCF1
KCNK3
ACHE
RBFOX3
MAFA
GSTT1
FOXO1
ID4
KCNQ5
UST
ESR2
PDK1
NR2F2
CKAP2L
SRC
POLE
DDX58
NLRC4
TBK1
SPARC
MMP14
SOS2
CCND2
CD44
BDNF
CDKN2B
F2
NFKB2
POR
KCTD1
NIN
SSR4
NLRP3
SRY
BCL2
AXL
CA1
BAX
ATF3
PLTP
GC
GIP
PIN1
PLD2
FBXO38
FPR1
GBGT1
FDPS
FGF2
SMPD3
SMAD5
SOCS3
SMAD1
POSTN
SLPI
SELL
SMAD2
SFTPD
SIRT1
PPARA
SRI
TGM2
SPRY2
TFF1
TLR9
TET2
STK39
SPP1
SRR
TLR6
SREBF2
TXNIP
TRIO
TNFSF14
TNFRSF1B
TRPV1
YY1
VCAM1
TSLP
ZNF804A
ZP1
AHR
AADAC
AFP
ABL2
ADIPOR1
ABL1
ADM
AADACL2
RORA
PTGS2
ROCK1
REL
CD38
CSF1
CCR2
CD200
CPZ
CD86
CRP
CDA
CCR3
CTSG
CD5
CD80
CDX2
CCR7
CXCL5
CSF2
CLOCK
CPE
AMBN
PER1
AQP5
ALDH1A1
PGAP1
AP3B2
PCDH9
PADI4
P2RX7
P2RX5
HEY2
HCN2
HDAC9
HDX
HEY1
HBD
GSTP1
HIF1A
HSPA9
MTSS1
IL12RB2
KAT2A
JUN
MST1R
KL
KDM6B
INHA
ILK
IL1R1
IKBKB
MUC7
IL6ST
IL3
IKZF3
IFRD1
IL4
HTR1B
NNT
NAT1
NQO1
NR1I2
NUAK1
OPRM1
NOD1
NLRP2
NEIL1
NLRX1
LECT2
MMP8
LRP1
LEF1
MFGE8
LPP
MME
MARS
MCC
LYN
LOX
LHX8
LIF
COL4A1
MTOR
BRAF
KCNQ1
NODAL
ATR
SETD2
HAX1
RAD51
STAT1
NOS2
NLRP1
NOD2
LPL
KIT
APOE
APOB
ALB
ESR1
TG
TLR5
TNF
TERT
TLR2
SLC11A1
IRF8
IL12B
HMOX1
IL6R
ICOS
IFNGR1
IL6
HR
IL1RN
IRF6
IL13
IL10
IL4R
IFNG
FSHR
GCLC
FN1
CTLA4
CR2
FTL
GATA2
CASP10
CD19
CD209
C3
CHI3L1
C9
CD36
C5
CIITA
CFI
CCR5
CBL
A2M
JAK2
IL12RB1
EDA
EGFR
DNMT3A
IFIH1
XIAP
HBA1
ERBB2
MPL
MET
CDKN2A
NOTCH2
BMP2
NOG
INS
TRPV4
BMPR1B
GDF5
IL23R
PIK3R1
BMP4
VDR
HFE
F5
AR
PROC
MYD88
IRAK4
G6PD
CFTR
MPO
ACE
CTNNB1
AGT
LRP5
GBE1
GNRH1
HTRA1
PPARG
RET
CYLD
FBN1
TGFB3
ASAH1
ADAM10
MMP1
FUS
FOXP3
GDNF
ENAM
ECE1
FLT3
PRLR
LDLR
COL1A1
APP
SOST
TGFB1
ZEB1
PSEN1
MTR
DNMT1
VWF
TRPS1
TP63
RUNX2
GSS
DES
MIP
COMP
VIM
MEFV
APC
NOS3
CLCN7
AKT2
KAT6B
HPD
FGFR1
RPS6KA3
PROS1
NDP
NHS
VHL
CCL2
SHH
CAV3
DMD
DSP
AASS
COL6A1
SAG
RHO
ALPL
RBP4
CD27
TLR3
NF1
MMP3
TPI1
PTH1R
IDH1
ELANE
LEP
SEMA3A
BMP1
HSPG2
SMAD6
CAMTA1
ROR2
EZH2
PIGO
PDSS1
MAF
DLX5
SPTB
LEPR
MBL2
CSF2RB
ADAM17
ADK
FAM20A
CHIT1
CAT
IL17F
IL17RA
CD4
ACACA
PLIN1
MERTK
SP7
DHFR
SMAD3
C1S
GCLM
NAT2
EPHA2
ACP5
IDS
TAT
G6PC
WNT5A
MAX
FADD
C1QA
CD79A
IGLL1
MS4A1
GPI
MEF2C
CD207
HAMP
TLR1
PNP
IL10RA
RAD50
MMP9
ALK
SYNE2
FTO
LDHA
GHRHR
ADAM9
SPR
SOD2
PON1
EPO
ADIPOQ
MMP20
C6
XBP1
CD59
ANG
NLRP12
EGF
TYK2
TLR4
ICAM1
NME8
DSC2
ALDH2
ZNF750
CTSD
C7
ITGAM
CXCR1
CXCL12
CDK4
PKP2
CD8A
MUSK
IGF1
NGF
DDC
LRP8
HGF
RAC2
LAMA2
CD40
FH
PARK7
PINK1
GLDC
AMT
TH
PAX9
MIF
CP
LOR
PCSK9
MPI
MMP13
KDR
FAS
GHRL
AGPS
OTC
EMD
SMS
STS
PHEX
GK
EBP
GLA
AMELX
TSPAN7
LIPA
ADAMTS13
HEXA
SACS
RHAG
PC
CTSK
CA2
OSTM1
TNFSF11
MMP2
PPIB
GAN
IRF4
CHAT
DBT
STAT5B
MGP
B2M
DMP1
TNFRSF11B
CBS
HAL
NCF2
CYBA
AAAS
NLRP7
GALT
KNG1
ITGA6
COL17A1
WNT10B
SI
LYST
CYP27A1
TF
TBX21
ARG1
SOX2
KLK4
HGD
GFAP
STAR
CXCR4
FGF23
PCM1
CALCR
EDNRA
DNASE1
STAT3
SELP
KRT2
GATA3
SELE
OGG1
HTT
IL1B
TIMP3
RETN
NOTCH1
SOD1
LYZ
ADA
CD55
RELB
CLPB
IRF3
CD46
ACD
TNFAIP3
JAK1
IRAK1
NFKB1
NFAT5
C2
FCGR3A
RORC
CD70
IL2
CFB
IL1A
TRAF6
